Storm name,Dates active,Max wind,Pressure,Areas affected,Damage,Deaths,Refs
Blake,January 4–11,75 (45),986,Western Australia,Minor,None,
Claudia,January 4–17,150 (90),963,"Eastern Indonesia, Top End, Kimberley",None,None,
Tino,January 11–20,120 (75),970,"Solomon Islands, Vanuatu, Fiji, Wallis and Futuna, Samoan Islands, Tuvalu, Tonga",$5.83 million,2,[17]
05,January 19–23,55 (35),999,None,None,None,
Diane,January 22–26,75 (45),990,"Madagascar, Mauritius, Réunion",Unknown,31,[18]
Kurumí,January 23–25,65 (40),998,"São Paulo, Minas Gerais, Espírito Santo, Rio de Janeiro",Unknown,70,[19]
Esami,January 23–26,85 (50),990,Rodrigues,None,None,
04U,January 23–30,Unspecified,998,"Northern Territory, Queensland",None,None,
05F,January 24–26,Unspecified,1003,Samoan Islands,None,None,
TL,January 31 – February 4,Unspecified,1007,"Christmas Island, Cocos Islands",None,None,
Damien,February 2–11,155 (100),955,"Northern Australia, Kimberley",$4.3 million,None,[20]
Uesi,February 3–15,120 (75),970,"Solomon Islands, Vanuatu, New Caledonia, Lord Howe Island, New Zealand, New South Wales, South East Queensland",Minor,1,[21]
Francisco,February 3–15,80 (50),994,Madagascar,Minor,1,[22]
TL,February 6–8,Unspecified,1007,Cocos Islands,None,None,
TL,February 13,Unspecified,1009,None,None,None,
Gabekile,February 13–17,165 (105),950,None,None,None,
07F,February 14–21,Unspecified,998,"Tuvalu, American Samoa, Tokelau",None,None,
TL,February 15–17,Unspecified,1002,Solomon Islands,None,None,
08F,February 17–18,65 (40),994,"American Samoa, Niue",None,None,
Vicky,February 19–22,85 (50),988,"Samoan Islands, Niue",None,None,
Wasi,February 21–23,85 (50),990,"Wallis and Futuna, Samoan Islands",None,None,
Esther,February 21 – March 5,75 (45),988,"Far North Queensland, Northern Territory, Kimberley",None,None,
Ferdinand,February 22 – March 4,155 (100),960,Lesser Sunda Islands,None,None,
09U,March 9–14,75 (45),999,"Java, Bali, West Nusa Tenggara Western Australia",None,None,
Gretel,March 10–17,100 (65),980,"Top End, New Guinea, Queensland, New Caledonia, Norfolk Island, New Zealand",None,None,
Herold,March 12–20,175 (110),955,"Madagascar, Tromelin Island",Unknown,5,[23]
11U,March 29 – April 2,Unspecified,1005,"New Guinea, Cape York Peninsula",None,None,
Irondro,April 1–7,175 (110),950,None,None,None,
Harold,April 1–11,230 (145),920,"Papua New Guinea, Solomon Islands, Vanuatu, Fiji, Tonga",>$123.5 million,≥30,[24][25]
TL,April 3,Unspecified,1008,None,None,None,
Jeruto,April 10–16,65 (40),999,None,None,None,
One-E,April 25–26,55 (35),1006,None,None,None,
TD,May 3–10,55 (35),1004,"Mentawai Islands, Sumatra",None,None,
Vongfong (Ambo),May 10–18,155 (100),960,"Palau, Philippines, Taiwan, Ryukyu Islands",$50 million,5,[26]
Amphan,May 16–21,240 (150),920,"Sri Lanka, Bangladesh, India, Bhutan",>$13.6 billion,128,[27]
Arthur,May 16–19,95 (60),990,"Cuba, Florida, The Bahamas, North Carolina, Bermuda",$112.000,None,[28]
Mangga,May 19–23,65 (40),995,"Cocos Islands, Mentawai Islands, Sumatra, Western Australia",None,None,
Bertha,May 27–28,85 (50),1004,"Florida, Bahamas, East Coast of the United States","$130,000",1,[29]
ARB 01,May 29–31,45 (30),1000,"Oman, Yemen",Minimal,3,[30]
Amanda & Cristobal,May 30 – June 10,95 (60),992,"Guatemala, El Salvador, Honduras, Belize, Costa Rica, Mexico, Gulf Coast of the United States, Midwestern United States, Eastern Canada",$865 million,55,[31]
Nisarga,June 1–4,110 (70),984,West India,$803 million,6,[citation needed]
Nuri (Butchoy),June 10–15,75 (45),996,"Philippines, China",Minimal,1,[citation needed]
Dolly,June 22–24,75 (45),1002,"East Coast of the United States, Atlantic Canada",None,None,
Boris,June 24–28,65 (40),1005,None,None,None,
Four-E,June 30,55 (35),1004,None,None,None,
Edouard,July 4–6,75 (45),1007,"Bermuda, Ireland, United Kingdom, The Netherlands, Denmark, Poland, Russia",Minimal,None,[citation needed]
Cristina,July 6–13,110 (70),993,Socorro Island,None,None,
Fay,July 9–11,95 (60),998,"Mid-Atlantic United States, New England",$350 million,6,[citation needed]
Carina,July 11–15,55 (35),1004,"Philippines, Taiwan",Minimal,None,[citation needed]
Six-E,July 13–14,55 (35),1007,None,None,None,
Seven-E,July 20–21,65 (40),1006,None,None,None,
Douglas,July 20–29,215 (130),954,Hawaii,Minimal,None,[citation needed]
Gonzalo,July 21–25,100 (65),997,"Windward Islands, Trinidad and Tobago, Venezuela, Leeward Islands",Minimal,None,[citation needed]
Hanna,July 23–27,150 (90),973,"Hispaniola, Cuba, Gulf Coast of the United States, Mexico",$1.2 billion,9,[citation needed]
TD,July 27–30,Not specified,1010,None,None,None,
Isaias,July 30 – August 5,140 (85),987,"Windward Islands, Puerto Rico, Hispaniola, Lucayan Archipelago, East Coast of the United States, Eastern Canada",$4.8 billion,18,[citation needed]
Hagupit (Dindo),July 31 – August 5,130 (80),975,"Ryukyu Islands, Taiwan, East China",$411 million,17,[citation needed]
Sinlaku,July 31 – August 3,65 (40),992,"South China, Vietnam",$12.9 million,6,[citation needed]
Ten,July 31 – August 2,55 (35),1007,"West Africa, Cabo Verde Islands",None,None,
Jangmi (Enteng),August 7–10,85 (50),996,"Philippines, Ryukyu Islands, Korean Peninsula",$1 million,None,[citation needed]
Elida,August 9–13,155 (100),975,"Mexico, Socorro Island",None,None,
Mekkhala (Ferdie),August 9–11,95 (60),992,"Philippines, Taiwan, East China",$159 million,None,[citation needed]
Gener,August 9–13,55 (35),1012,None,None,None,
Josephine,August 11–16,75 (45),1004,"Leeward Islands, Puerto Rico",None,None,
Ten-E,August 13–16,55 (35),1004,None,None,None,
Kyle,August 14–16,85 (50),1000,"East Coast of the United States, United Kingdom, Ireland",None,None,
Fausto,August 16–17,65 (40),1004,California,Minimal,1,[citation needed]
Genevieve,August 16–21,215 (130),950,"Southwestern Mexico, Socorro Island, Baja California Peninsula",$50 million,6,[citation needed]
Higos (Helen),August 16–20,100 (65),992,"Philippines, South China, Hong Kong",$142 million,7,[citation needed]
Laura,August 20–29,240 (150),937,"Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, Eastern United States",$19.1 billion,77,[citation needed]
Marco,August 20–25,120 (75),991,"Windward Islands, South America, Jamaica, British Cayman Islands, Belize",$10 million,1,[citation needed]
Bavi (Igme),August 21–27,155 (100),950,"Philippines, Ryukyu Islands, Taiwan, North Korea",$11.7 million,1,[citation needed]
Hernan,August 26–28,75 (45),1001,"Mexico, Baja California Peninsula",Minimal,None,[citation needed]
Iselle,August 26–30,95 (60),997,Clarion Island,None,None,
Maysak (Julian),August 27 – September 3,175 (110),935,"Philippines, Ryukyu Islands, Korean Peninsula",$100 million,32,[citation needed]
Haishen (Kristine),August 31 – September 9,195 (120),910,"Mariana Islands, China, Japan, Korea",$100 million,4,[citation needed]
Omar,August 31 – September 5,65 (40),1003,Southeastern United States,None,None,
Nana,September 1–4,120 (75),994,"Jamaica, Honduras, Belize, Guatemala",$20 million,None,[citation needed]
Julio,September 5–7,75 (45),1003,None,None,None,
Paulette,September 7–23,165 (105),965,"Bermuda, Azores, Madeira",$50 million,1,[citation needed]
Rene,September 7–14,85 (50),1000,"Senegal, Cabo Verde Islands",Minimal,None,[citation needed]
12W,September 10–12,55 (35),1006,Bonin Islands,None,None,
Sally,September 11–17,175 (110),965,"The Bahamas, Cuba, U.S. Gulf Coast, Southeastern United States, Norway",$7.3 billion,8,[citation needed]
Teddy,September 12–23,220 (140),945,"Lesser Antilles, Bermuda, East Coast of the United States, Atlantic Canada",$35 million,3,[citation needed]
Karina,September 13–17,95 (60),996,None,None,None,
Vicky,September 14–17,85 (50),1000,Cape Verde,Minimal,1,[citation needed]
Ianos,September 14–20,120 (75),995,"Malta, Italy, Greece, Libya",$100 million,5,[citation needed]
Noul (Leon),September 14–19,80 (50),994,"Philippines, Vietnam, Cambodia",$175 million,18,[citation needed]
Alpha,September 17–19,85 (50),996,Iberian Peninsula,$2 million,1,[citation needed]
Wilfred,September 17–21,65 (40),1007,None,None,None,
Beta,September 17–23,95 (60),994,"Mexico, Texas",$400 million,1,[citation needed]
Dolphin (Marce),September 20–24,110 (70),975,None,None,None,
Lowell,September 20–25,85 (50),1001,None,None,None,
Kujira,September 26–30,110 (70),980,None,None,None,
TD,September 27–29,55 (35),1000,None,None,None,
Marie,September 29 – October 7,220 (140),945,None,None,None,
Gamma,October 2–6,120 (75),978,"Central America, Cayman Islands, Yucatán Peninsula",$100 million,7,[citation needed]
Chan-hom,October 4–16,120 (75),970,Japan,None,None,
Delta,October 5–11,230 (145),953,"Jamaica, Nicaragua, Cayman Islands, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Northeastern United States",$3 billion,6,[citation needed]
Norbert,October 5–15,85 (50),1001,None,None,None,
Linfa,October 9–12,75 (45),996,"Philippines, Vietnam, Cambodia, Laos Thailand, Myanmar",$950 million,137,[citation needed]
BOB 02,October 11–14,55 (35),999,"Andhra Pradesh, Puducherry, Telangana, Kerala, Karnataka, Maharashtra, Goa",$681 million,98,[32]
Nangka (Nika),October 11–14,85 (50),990,"Philippines, South China, Vietnam, Laos,",$16.9 million,4,[citation needed]
Ofel,October 13–16,55 (35),1002,"Philippines, Vietnam",$27.9 million,10,[citation needed]
ARB 03,October 17–19,45 (30),1000,Maharashtra,Minimal,None,[citation needed]
Saudel (Pepito),October 19–26,130 (80),965,"Philippines, South China",$15.2 million,None,[citation needed]
Epsilon,October 19–26,185 (115),951,Bermuda,Minimal,None,[citation needed]
20W,October 19–23,55 (35),1008,Japan,None,None,
BOB 03,October 22–24,45 (30),1000,"West Bengal, Bangladesh, Northeast India",Minimal,None,[citation needed]
Molave (Quinta),October 23–28,155 (100),950,"Philippines, Spratly Islands, Vietnam, Laos, Cambodia, Thailand, Malaysia, Myanmar",$660 million,71,[citation needed]
Zeta,October 24–29,185 (115),970,"Cayman Islands, Jamaica, Central America, Yucatán Peninsula, Gulf Coast of the United States, Southeastern United States, Mid-Atlantic, New England, Ireland, United Kingdom",$4.4 billion,8,[citation needed]
Mani,October 25–28,65 (40),1004,Brazil,None,None,
Goni (Rolly),October 26 – November 6,220 (140),905,"Philippines, Vietnam, Cambodia Laos",$1.04 billion,32,[citation needed]
Atsani (Siony),October 29 – November 7,95 (60),994,"Mariana Islands Philippines Taiwan, South China",$101 thousand,None,[citation needed]
Eta,October 31 – November 13,240 (150),922,"ABC Islands, Jamaica, San Andrés and Providencia, Central America, Mexico, Cayman Islands, Cuba, The Bahamas, Southeastern United States",$8.3 billion,175,[citation needed]
Odalys,November 3–6,85 (50),1000,None,None,None,
Etau (Tonyo),November 7–11,85 (50),992,"Philippines, Vietnam Cambodia",$34.8 million,3,[citation needed]
Vamco (Ulysses),November 8–15,155 (100),950,"Philippines, Vietnam, Laos, Thailand",$440.8 million,102,[citation needed]
Theta,November 10–15,110 (70),989,"Canary Islands, Madeira",None,None,
Alicia,November 12–17,130 (80),975,None,None,None,
Iota,November 13–18,250 (155),917,"ABC Islands, Venezuela, Colombia, San Andrés and Providencia, Central America, Mexico",$1.4 billion,61,[citation needed]
02,November 15–17,55 (35),999,None,None,None,
Polo,November 17–19,75 (45),1004,None,None,None,
Gati,November 21–24,140 (85),978,"Somalia, Yemen, Djibouti",$1 million,9,[citation needed]
Nivar,November 23–27,120 (75),980,"Andhra Pradesh, Tamil Nadu, Puducherry, Sri Lanka",$600 million,14,[citation needed]
Bongoyo,November 24 – December 11,100 (65),988,Cocos Islands,None,None,
Burevi,November 30 – December 5,85 (50),996,"Sri Lanka, Tamil Nadu, Kerala",Unknown,11,[citation needed]
TD,December 5–6,Not specified,1010,None,None,None,
02U,December 6–12,75 (45),991,"Sumatra, Java, Christmas Island",None,None,
TL,December 7–11,55 (35),997,"Western Australia, Northern Territory, South Australia",None,None,
01F,December 8–12,55 (35),998,"Fiji, Rotuma",None,None,
Yasa,December 11–21,230 (145),917,"Rotuma, Vanuatu, Fiji",$246.7 million,4,[33]
Zazu,December 11–16,95 (60),980,"American Samoa, Niue, Tonga",Minimal,Unknown,[citation needed]
Krovanh (Vicky),December 17–24,65 (40),1000,"Philippines, Malaysia, Thailand",$4.48 million,9,[citation needed]
03U,December 18–23,55 (35),993,"Top End, Kimberley",None,None,
Chalane,December 19–30,110 (70),983,"Madagascar, Mozambique, Zimbabwe, Botswana",Unknown,7,[34]
05,"December 20 – January 3, 2021",55 (35),998,Cocos Islands,None,None,
Danilo,"December 28 – January 12, 2021",100 (65),981,Chagos Archipelago,None,None,
Oquira,December 28–31,65 (40),998,"Argentina, Brazil, Uruguay",None,None,
TD,December 29,Not specified,1004,None,None,None,
